id,sender,received_at,text
26,بنك الرياض,2024-04-07T19:33:00,"عملية شراء بمبلغ 18,889.30 ر.س لدى jarir bookstore بالبطاقة xxxx9586 بتاريخ 07/04/2024 الرصيد المتاح 472,796.36"
27,بنك الرياض,2024-09-05T03:48:00,"عملية شراء بمبلغ 36,490.71 ر.س لدى بنده بالبطاقة xxxx2980 بتاريخ 2024-09-05 الرصيد المتاح 363,605.03"
28,بنك الرياض,2024-12-02T22:24:00,"Bill payment ر.س 68,010.30 to amazon.sa succeeded. Fee ر.س 28.78. Ref 648642331"
29,riyad bank,2024-09-23T15:23:00,"Dear customer, service الحوالات الفورية was activated on account ***274. Call 966597619725 for help"
30,الأهلي,2024-02-28T20:34:00,"سحب نقدي 18,712.49 SAR من الحساب ***537 بتاريخ 28/02/2024 الرصيد المتاح 452,984.66"
31,riyad bank,2024-11-12T23:33:00,"تم ايداع راتب بمبلغ 34,458.49 ر.س في الحساب ***384 بتاريخ 2024-11-12"
32,الأهلي,2024-11-13T19:26:00,عزيزنا  العميل تم تفعيل خدمة apple pay على حسابك ***٥٠٠ للاستفسار اتصل على ٩٦٦٥٣٠٤١٠٢٥٣
33,riyad bank,2024-06-15T12:10:00,"Dear customer, service sms alerts was activated on account ***741. Call 966519442473 for help"
34,snb,2024-07-14T16:32:00,"Purchase of USD 89,673.68 at carrefour hyper on card ending ****8787 on 14/07/2024 16:32. Available balance USD 139,337.89"
35,snb,2024-05-14T19:00:00,"Dear customer, service apple pay was activated on account ***916. Call 966576531138 for help"
36,الراجحي,2024-02-09T16:31:00,"Salary of ر.س 54,910.80 credited to account ***318 on 09/02/2024"
37,riyad bank,2024-04-29T20:58:00,Your OTP is 115250. Valid for 5 minutes. Do not share it with anyone
38,بنك الرياض,2024-10-26T03:01:00,‏خصم  رسوم 5.88 USD على الحساب ***297 رقم العملية 491109235‎ thank you
39,alrajhi,2024-11-23T03:39:00,"Transfer of USD 32,670.87 to mohammed ali completed. Ref 874782108. Balance USD 167,518.71"
40,snb,2024-10-23T15:49:00,‏Your  card xxxx4868 was declined at نون due to insufficient funds‎
41,بنك الرياض,2024-11-17T15:55:00,Your card xxxx9167 was declined at jarir bookstore due to insufficient funds
42,alrajhi,2024-09-25T17:19:00,"Salary of USD 17,931.11 credited to account ***166 on 2024-09-25"
43,الأهلي,2024-06-12T05:16:00,‏عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***624 للاستفسار اتصل
44,alrajhi,2024-01-14T22:06:00,"Salary of AED 73,327.86 credited to account ***308 on 14/01/2024"
45,snb,2024-09-10T04:32:00,Your card xxxx٦٨٥٢ was declined at amazon.sa due to insufficient funds
46,alrajhi,2024-11-17T10:21:00,رمز التحقق الخاص بك هو 365846 صالح لمدة 10 دقائق لا تشاركه مع احد
47,snb,2024-12-09T08:43:00,عزيزنا Ø§Ù„Ø¹Ù…ÙŠÙ„ ØªÙ… ØªÙØ¹ÙŠÙ„ Ø®Ø¯Ù…Ø© apple pay Ø¹Ù„Ù‰ Ø­Ø³Ø§Ø¨ك ***735 للاستفسار اتصل على 966585890364
48,الأهلي,2024-10-23T23:15:00,"تم ايداع راتب بمبلغ 3,703.71 AED في الحساب ***713 بتاريخ 2024-10-23"
49,الأهلي,2024-08-13T07:57:00,"Purchase  of ر.س 41,877.26 at صيدلية النهدي on card ending xxxx8753 on 13/08/2024 07:57. Available balance ر.س 223,437.09"
50,الأهلي,2024-09-19T06:53:00,خصم رسوم 38.41 SAR على الحساب ***298 رقم العملية 628141355
51,riyad bank,2024-04-02T12:53:00,Your OTP is 668493. Valid for 10 minutes. Do not share it with anyone
52,الأهلي,2024-07-08T20:31:00,"تم  تحويل مبلغ 22,686.58 SAR الى نورة الشمري رقم المرجع 486816983 الرصيد 267,873.85"
53,alrajhi,2024-08-01T07:24:00,عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***148 للاستفسار اتصل على 966517300509
54,alrajhi,2024-08-02T11:33:00,"Salary of AED 18,380.57 credited to account ***561 on 02/08/2024"
55,الراجحي,2024-12-07T05:00:00,رمز التحقق الخاص بك هو 111014 صالح لمدة 5 دقائق لا تشاركه مع احد
56,snb,2024-07-04T04:00:00,Your OTP is ٩٥٧٥٧٣. Valid for ١٠ minutes. Do not share it with anyone
57,snb,2024-09-10T01:57:00,"Dear customer, service apple pay was activated on account ***757. Call 966544946088 for help"
58,الراجحي,2024-04-29T14:56:00,Your  card ****8735 was declined at صيدلية النهدي due to ins
59,بنك الرياض,2024-08-14T10:50:00,"Transfer of AED 31,041.01 to Ø®Ø§Ù„Ø¯ Ø§Ù„Ø¹ØªÙŠØ¨ÙŠ completed. Ref 170614917. Balance AED 70,963.70"
60,riyad bank,2024-03-14T23:14:00,"ATM  withdrawal SAR 3,052.29 from account ***235 on 14/03/2024. Available balance SAR 474,628.27"
61,الأهلي,2024-11-27T10:37:00,"‏Bill payment USD 69,232.53 to نون succeeded. Fee USD 48.13. Ref 472353978‎"
62,alrajhi,2024-01-02T14:06:00,"Purchase of USD ٤٤,١٧٦.٦٢ at starbucks on card ending xxxx٦٦٨٨ on ٠٢/٠١/٢٠٢٤ ١٤:٠٦. Available balance USD ٢٤٥,٧٦٧.٤٧"
63,بنك الرياض,2024-08-16T14:57:00,"Transfer of USD 32,008.76 to acme trading llc completed. Ref 382603930. Balance USD 200,665.22"
64,بنك الرياض,2024-01-13T08:05:00,"سحب نقدي 52,344.39 USD من الحساب ***549 بتاريخ 2024-01-13 الرصيد المتاح 260,890.00"
65,snb,2024-09-20T08:36:00,Your OTP is ١٠٧٧٥١. Valid for ٥ minutes. Do not share it with anyone
66,بنك الرياض,2024-11-27T19:57:00,"سحب نقدي 25,275.99 SAR من الحساب ***612 بتاريخ 2024-11-27 الرصيد المتاح 442,629.79"
67,الراجحي,2024-03-24T05:13:00,عزيزنا العميل تم تفعيل خدمة الحوالات الفورية على حسابك ***348 للاستفسار اتصل على 966566851924
68,snb,2024-11-21T16:12:00,Your OTP is 366122. Valid for 5 minutes. Do not share it with anyone
69,بنك الرياض,2024-09-27T04:39:00,Your card xxxx1927 was declined at jarir bookstore due to insufficient funds
70,الأهلي,2024-03-20T16:53:00,"تم تحويل مبلغ 41,593.18 ر.س الى نورة الشمري رقم المرجع 479172294 الرصيد 82,308.45"
71,riyad bank,2024-05-16T22:50:00,"تم  ايداع راتب بمبلغ 88,460.28 USD في الحساب ***428 بتاريخ 2024-05-16"
72,الراجحي,2024-07-12T04:52:00,Your OTP is 195682. Valid for 10 minutes. Do not share it with anyone
73,الراجحي,2024-11-24T06:40:00,"سحب نقدي 17,767.36 USD من الحساب ***529 بتاريخ 24/11/2024 الرصيد المتاح 346,411.71"
74,alrajhi,2024-01-03T09:43:00,"تم ايداع راتب بمبلغ 75,669.87 AED في الحساب ***528 بتاريخ 03/01/2024"
75,alrajhi,2024-10-02T16:16:00,"عملية شراء بمبلغ 3,055.56 AED لدى هنقرستيشن بالبطاقة xxxx6999 بتاريخ 02/10/2024 الرصيد المتاح 359,106.15"
76,الأهلي,2024-11-13T20:04:00,"‏Salary of USD 87,749.72 credited to account ***230 on 13/11/2024‎"
77,الراجحي,2024-10-05T21:16:00,رمز التحقق الخاص بك هو 800722 صالح لمدة 5 دقائق لا تشاركه مع احد
78,alrajhi,2024-04-22T15:06:00,خصم Ø±Ø³ÙˆÙ… 4.39 USD Ø¹Ù„Ù‰ Ø§Ù„Ø­Ø³Ø§Ø¨ ***681 رقم العملية 985575275
79,riyad bank,2024-10-07T07:22:00,"عملية شراء بمبلغ 49,394.73 ر.س لدى starbucks بالبطاقة ****1254 بتاريخ 07/10/2024 الرصيد المتاح 41,508.22"
80,riyad bank,2024-09-29T01:29:00,خصم رسوم 63.23 AED على الحساب ***834 رقم العملية 112241697
81,riyad bank,2024-05-13T19:50:00,"Bill payment Ø±.Ø³ 42,284.83 to jarir bookstore succeeded. Fee ر.س 96.67. Ref 935471350"
82,riyad bank,2024-09-21T05:20:00,رمز التحقق الخاص بك هو 809919 صالح لمدة 5 دقائق لا تشاركه مع احد
83,riyad bank,2024-04-15T01:08:00,"Purchase of AED 73,058.66 at نون on card ending xxxx9191 on 15/04/2024 01:08. Available balance AED 433,609.22"
84,snb,2024-01-04T09:52:00,خصم رسوم 80.85 ر.س على الحساب ***953 رقم العملية 611730563
85,alrajhi,2024-07-07T07:30:00,خصم رسوم 49.83 AED على الحساب ***259 رقم العملية 741251925
86,riyad bank,2024-10-10T16:40:00,"Dear customer, service sms alerts was activated on account ***305. Call 966584810310 for help"
87,riyad bank,2024-08-20T23:01:00,رمز  التحقق الخاص بك هو ٣٨٩٩٢٨ صالح لمدة ٥ دقائق لا تشاركه مع احد thank you
88,الراجحي,2024-09-26T06:28:00,"تم ايداع راتب بمبلغ 5,023.82 ر.س في الحساب ***582 بتا"
89,snb,2024-11-28T06:18:00,"تم ايداع راتب بمبلغ 71,897.44 AED في الحساب ***199 بتاريخ 2024-11-28"
90,riyad bank,2024-06-13T08:11:00,"تم ايداع راتب بمبلغ 39,510.20 AED في الحساب ***684 بتاريخ 2024-06-13"
91,بنك الرياض,2024-08-31T07:31:00,خصم  رسوم ١٢.٨٠ AED على الحساب ***٣٤٤ رقم العملية ٢٠٤٧٥٩٤٦٣
92,snb,2024-02-21T00:35:00,"‏تم تحويل مبلغ 178.06 ر.س الى sara a. رقم المرجع 397262470 الرصيد 416,130.76‎"
93,riyad bank,2024-10-04T04:09:00,"عملية شراء بمبلغ 15,782.74 USD لدى carrefour hyper بالبطاقة ****6046 بتاريخ 2024-10-04 الرصيد المتاح 68,563.56 شكرا لك"
94,الأهلي,2024-03-31T10:01:00,"Salary  of AED 50,683.67 credited to account ***628 on 31/03/2024"
95,الأهلي,2024-01-10T08:03:00,"تم تحويل مبلغ 1,866.80 AED الى sara a. رقم المرجع 120885531 الرصيد 483,714.77"
96,الأهلي,2024-09-18T02:05:00,"Transfer of AED 4,070.13 to sara a. completed. Ref 681536088. Balance AED 61,568.43 thank you"
97,الأهلي,2024-11-01T17:36:00,رمز التحقق الخاص بك هو 844451 صالح لمدة 10 دقائق لا تشاركه مع احد
98,riyad bank,2024-05-12T16:27:00,"‏Purchase of SAR 47,774.20 at amazon.sa on card ending xxxx3284 on 2024-05-12 16:27. Available balance SAR 34,678.64‎"
99,snb,2024-06-06T21:39:00,"Purchase of AED 85,578.17 at starbucks on card ending xxxx1988 on 2024-06-06 21:39. Available balance AED 143,797.05"
100,riyad bank,2024-07-17T21:46:00,"تم ايداع راتب بمبلغ 75,578.05 USD في الحساب ***571 بتا"
101,الراجحي,2024-02-29T02:09:00,"Bill payment AED 29,159.11 to carrefour hyper succeeded. Fee AED 27.72. Ref 750606214"
102,alrajhi,2024-09-25T22:18:00,"سحب نقدي 37,510.58 AED من الحساب ***856 بتاريخ 2024-09-25 الرصيد المتاح 334,137.99"
103,riyad bank,2024-06-01T03:45:00,Your OTP is 552678. Valid for 15 minutes. Do not share it with anyone
104,الأهلي,2024-04-20T16:40:00,"تم تحويل مبلغ 39,210.95 AED الى خالد العتيبي رقم المرجع 111480744 الرصيد 188,530.68"
105,الراجحي,2024-06-05T13:53:00,"سحب نقدي 41,785.04 ر.س من الحساب ***201 بتاريخ 2024-06-05 الرصيد المتاح 20,403.93"
106,riyad bank,2024-09-28T18:43:00,"تم تحويل مبلغ 15,369.16 SAR الى نورة الشمري رقم المرجع 840760722 الرصيد 159,072.97"
107,alrajhi,2024-08-07T14:12:00,رمز التحقق الخاص بك هو 417878 صالح لمدة 5 دقائق لا تشاركه مع احد
108,الراجحي,2024-07-06T06:20:00,"‏تم  تحويل مبلغ 51,704.22 AED الى نورة الشمري رقم المرجع 181744047 الرصيد 205,579.68‎"
109,alrajhi,2024-03-27T17:58:00,"‏تم ايداع راتب بمبلغ 24,793.92 USD في الحساب ***738 بتاريخ 2024-03-27‎"
110,alrajhi,2024-01-03T05:51:00,"Bill payment ر.س 27,334.37 to صيدلية النهدي succeeded. Fee ر.س 96.04. Ref 543986830"
111,الراجحي,2024-05-12T03:23:00,"تم ØªØ­ÙˆÙŠÙ„ Ù…Ø¨Ù„Øº 30,154.63 SAR Ø§Ù„Ù‰ Ø®Ø§Ù„Ø¯ Ø§Ù„Ø¹ØªÙŠØ¨ي رقم المرجع 515928494 الرصيد 435,748.87"
112,الراجحي,2024-03-12T11:15:00,"Transfer of USD 49,040.24 to acme trading llc completed. Ref 875742278. Balance USD 393,741.47"
113,alrajhi,2024-08-04T23:31:00,"Salary  of ر.س 52,882.80 credited to account ***655 on 2024-08-04"
114,الراجحي,2024-11-20T12:28:00,"سحب نقدي 6,131.93 SAR من الحساب ***190 بتاريخ 20/11/2024 الرصيد المتاح 456,929.42"
115,alrajhi,2024-04-10T16:16:00,"Dear customer, service apple pay was activated on account ***354. Call 966549121311 for help"
116,alrajhi,2024-02-28T23:41:00,رمز التحقق الخاص بك هو 547076 صالح لمدة 10 دقائق لا تشاركه مع احد -الأهلي
117,riyad bank,2024-09-04T23:16:00,"ATM withdrawal SAR 3,346.59 from account ***865 on 04/09/2024. Available balance SAR 159,309.77"
118,alrajhi,2024-09-03T08:06:00,"‏Purchase of AED 38,554.39 at starbucks on card ending ****9020 on 2024-09-03 08:06. Available balance AED 255,964.94‎"
119,الراجحي,2024-09-14T09:37:00,"سحب نقدي 60,331.74 ر.س من الحساب ***236 بتاريخ 14/09/2024 الرصيد المتاح 118,974.42"
120,riyad bank,2024-05-27T20:32:00,خصم رسوم 36.69 AED على الحساب ***411 رقم العمل
121,بنك الرياض,2024-09-30T05:29:00,"عملية شراء بمبلغ 7,562.04 ر.س لدى نون بالبطاقة xxxx9009 بتاريخ 30/09/2024 الرصيد المتاح 358,584.80"
122,riyad bank,2024-02-20T11:33:00,"Transfer of SAR 2,281.25 to نورة الشمري completed. Ref 897063427. Balance SAR 197,666.81"
123,بنك الرياض,2024-01-22T00:22:00,"ATM  withdrawal SAR 9,655.71 from account ***533 on 2024-01-22. Available balance SAR 401,402.17"
124,alrajhi,2024-06-09T00:25:00,عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***777 للاستفسار اتصل على 966568880433
125,الأهلي,2024-10-19T18:53:00,"عملية شراء بمبلغ 51,078.53 USD لدى صيدلية النهدي بالبطاقة ****8018 بتاريخ 19/10/2024 الرصيد المتاح 234,445.45"
126,snb,2024-11-18T06:09:00,"تم تحويل مبلغ ٧٦,٣٣٠.٦٨ SAR الى خالد العتيبي رقم المرجع ٧٠٦٤٦٥٤٩٥ الرصيد ١١١,٢٨٠.٥٢"
127,الأهلي,2024-02-04T13:48:00,"سحب نقدي 47,772.18 AED من الحساب ***853 بتاريخ 04/02/2024 الرصيد المتاح 125,808.50"
128,بنك الرياض,2024-02-07T04:06:00,"تم تحويل مبلغ 74,719.81 ر.س الى خالد العتيبي رقم المرجع 534174483 الرصيد 196,011.78"
129,alrajhi,2024-02-01T22:22:00,"Dear customer, service الحوالات الفورية was activated on account ***945. Call 966575630862 for help"
130,الراجحي,2024-12-02T21:53:00,"Purchase of AED 22,917.94 at صيدلية النهدي on card ending xxxx1343 on 02/12/2024 21:53. Available balance AED 96,614.33"
131,الأهلي,2024-12-11T10:26:00,"Salary of ر.س 1,246.99 credited to account ***286 on 2024-12-11"
132,الراجحي,2024-01-16T21:28:00,رمز التحقق الخاص بك هو 507921 صالح لمدة 10 دقائق لا تشاركه مع احد
133,snb,2024-04-09T12:27:00,Your card ****1558 was declined at starbucks due to insufficient funds
134,snb,2024-05-12T00:54:00,"تم Ø§ÙŠØ¯Ø§Ø¹ Ø±Ø§ØªØ¨ Ø¨Ù…Ø¨Ù„Øº 31,541.93 AED Ùي الحساب ***615 بتاريخ 2024-05-12"
135,riyad bank,2024-12-04T09:55:00,"Salary of AED ٥٢,٨١٣.٤٢ credited to account ***٦٩٧ on ٠٤/١٢/٢٠٢٤"
136,بنك الرياض,2024-11-23T08:30:00,"‏Bill payment AED 24,832.10 to starbucks succeeded. Fee AED 3.28"
137,بنك الرياض,2024-10-21T17:15:00,"Transfer of USD 64,712.69 to نورة الشمري completed. Ref 904580945. Balance USD 2,574.79"
138,alrajhi,2024-05-01T19:04:00,رمز  التحقق الخاص بك هو 745639 صالح لمدة 15 دقائق لا تشاركه مع احد
139,riyad bank,2024-05-05T06:51:00,Your card xxxx1518 was declined at نون due to insufficient funds
140,بنك الرياض,2024-03-24T01:45:00,"سحب نقدي 68,094.16 ر.س من الحساب ***668 بتاريخ 24/03/2024 الرصيد المتاح 45,001.63"
141,الراجحي,2024-11-09T01:21:00,"عملية شراء بمبلغ 19,186.11 ر.س لدى بنده بالبطاقة xxxx4474 بتاريخ 09/11/2024 الرصيد المتاح 456,181.11"
142,snb,2024-12-10T01:06:00,Your card ****4790 was declined at carrefour hyper due to insufficient funds
143,snb,2024-04-12T21:05:00,"Salary  of SAR 29,840.88 credited to account ***693 on 12/04/2024"
144,الأهلي,2024-11-28T07:15:00,Your OTP is 435321. Valid for 10 minutes. Do not share it with anyone -الأهلي
145,بنك الرياض,2024-09-11T06:55:00,Your card xxxx2973 was declined at jarir bookstore due to insufficient funds
146,الأهلي,2024-05-07T05:28:00,"Transfer of AED ٧٦,٧٨٦.٦٤ to acme trading llc completed. Ref ١٧٤٠٠٣١٦٦. Balance AED ٤٨٦,٠٣٥.٩٨ -الراجحي"
147,alrajhi,2024-09-08T07:49:00,"Bill payment ر.س 88,412.61 to بنده succeeded. Fee ر.س 72.06. Ref 515621437"
148,بنك الرياض,2024-10-27T13:48:00,"ATM withdrawal AED 59,710.10 from account ***801 on 2024-10-27. Available balance AED 43,452.25"
149,snb,2024-08-17T04:46:00,عزيزنا  العميل تم تفعيل خدمة المدفوعات الدولية على حسابك ***٧٢٧ للاستفسار اتصل على ٩٦٦٥٨٦٥٩٨٧٩٢
150,بنك الرياض,2024-10-23T03:11:00,Your  OTP is 906565. Valid for 10 minutes. Do not share it with anyone
151,بنك الرياض,2024-08-29T02:43:00,"عملية شراء بمبلغ 24,754.85 SAR لدى jarir bookstore بالبطاقة ****8361 بتاريخ 29/08/2024 ا"
152,snb,2024-01-01T07:03:00,"ATM withdrawal USD 5,200.83 from account ***371 on 2024-01-01. Available ba"
153,بنك الرياض,2024-05-16T19:08:00,"‏عملية شراء بمبلغ 3,762.52 USD لدى بنده بالبطاقة ****5207 بتاريخ 16/05/2024 الرصيد المتاح 376,560.23‎"
154,snb,2024-06-29T19:21:00,‏Your card ****7797 was declined at بنده due to insufficient funds‎
155,alrajhi,2024-05-21T01:56:00,خصم رسوم 8.64 ر.س على الحساب ***968 رقم العملية 706034682
156,الراجحي,2024-11-13T11:03:00,"Purchase of AED 28,847.36 at starbucks on card ending xxxx5500 on 2024-11-13 11:03. Available balance AED 95,165.69"
157,alrajhi,2024-04-03T14:26:00,"تم تحويل مبلغ 18,184.65 USD الى acme trading llc رقم المرجع 315034026 الرصيد 26,101.01"
158,alrajhi,2024-06-08T20:58:00,‏خصم رسوم 97.34 USD على الحساب ***999 رقم العملية 161972495‎
159,alrajhi,2024-06-30T09:29:00,Your OTP is 106761. Valid for 10 minutes. Do not share it with anyone
160,بنك الرياض,2024-11-12T02:13:00,‏Your OTP is ٩٥٧٢٠٠. Valid for ١٠ minutes. Do not share it with anyone‎
161,الراجحي,2024-08-26T09:58:00,"ATM withdrawal SAR 17,838.05 from account ***948 on 2024-08-26. Available balance SAR 74,503.41"
162,snb,2024-04-11T22:40:00,"‏عملية شراء بمبلغ ٥٣,٨٠١.٩٤ USD لدى starbucks بالبطاقة ****٨٧٠٧ بتاريخ ٢٠٢٤-٠٤-١١ الرصيد المتاح ٢٧٠,٣٨١.١٧‎"
163,الأهلي,2024-04-29T23:41:00,"ATM withdrawal USD 16,101.27 from account ***906 on 29/04/2024. Available balance USD 393,873.70"
164,riyad bank,2024-05-16T10:17:00,"Transfer  of AED 32,352.55 to mohammed ali completed. Ref 214391565. Balance AED 331,389.78"
165,alrajhi,2024-04-03T06:56:00,"تم تحويل مبلغ 85,445.81 USD الى نورة الشمري رقم المرجع 213553240 الرصيد 141,777.72 -الراجحي"
166,alrajhi,2024-07-26T11:05:00,"Salary of SAR 7,593.92 credited to account ***200 on 26/07"
167,الأهلي,2024-03-30T03:25:00,خصم رسوم 15.97 AED على الحساب ***324 رقم العملية 860851084
168,snb,2024-01-19T07:44:00,"سحب نقدي 70,796.60 USD من الحساب ***238 بتاريخ 2024-01-19 الرصيد المتاح 46,238.61"
169,الراجحي,2024-07-12T13:48:00,رمز التحقق الخاص بك هو 603935 صالح لمدة 15 دقائق لا تشاركه مع احد
170,riyad bank,2024-03-24T03:19:00,"Transfer of USD 59,696.85 to نورة الشمري completed. Ref 218752777. Balance USD 452,071.80"
171,riyad bank,2024-01-12T20:35:00,رمز التحقق الخاص بك هو 658612 صالح لمدة 5 دقائق لا تشاركه مع احد
172,بنك الرياض,2024-11-21T11:00:00,"Dear customer, service الحوالات الفورية was activated on account ***100. Call 966557285432 for help"
173,riyad bank,2024-10-01T06:40:00,"Dear  customer, service المدفوعات الدولية was activated on account ***412. Call 966576215060 for help"
174,snb,2024-06-12T00:21:00,Your card xxxx6328 was declined at صيدلية النهدي due to insufficient funds
175,snb,2024-01-10T09:28:00,"تم تحويل مبلغ 49,341.09 ر.س الى mohammed ali رقم المرجع 994961299 الرصيد 203,811.17"
176,riyad bank,2024-11-26T10:37:00,"Salary of SAR 52,856.66 credited to account ***586 on 26/11/2024"
177,الراجحي,2024-08-14T17:31:00,"Dear customer, service sms alerts was activated on account ***875. Call 966546962137 for help"
178,snb,2024-06-12T17:10:00,"Salary of SAR 3,724.51 credited to account ***171 on 12/06/2024"
179,الأهلي,2024-11-02T10:08:00,Your card xxxx9712 was declined at starbucks due to insufficient funds
180,الأهلي,2024-04-09T16:36:00,"تم ايداع راتب بمبلغ 13,608.29 AED في الحساب ***999 بتاريخ 2024-04-09"
181,الأهلي,2024-09-03T03:03:00,"Bill  payment SAR 32,377.63 to هنقرستيشن succeeded. Fee SAR 8.15. Ref 579825521"
182,alrajhi,2024-08-17T04:12:00,"‏Salary of USD ٨٦,٨٢٤.٨٤ credited to account ***٣٢٨ on ١٧/٠٨/٢٠٢٤‎"
183,riyad bank,2024-05-28T22:08:00,رمز  التحقق الخاص بك هو 141239 صالح لمدة 10 دقائق لا تشاركه مع احد
184,snb,2024-07-06T22:42:00,"Dear customer, service sms alerts was activated on account ***865. Call 966557500562 for help"
185,snb,2024-05-09T09:22:00,"تم تحويل مبلغ 50,886.07 AED الى mohammed ali رقم المرجع 963808810 الرصيد 157,873.42"
186,snb,2024-06-22T09:28:00,"Bill payment AED 76,497.94 to بنده succeeded. Fee AED 25.87. Ref 307323759 -snb"
187,snb,2024-01-11T01:12:00,Your card ****4341 was declined at amazon.sa due to insufficient funds
188,الأهلي,2024-02-15T23:06:00,"Dear customer, service المدفوعات الدولية was activated on account ***273. Call 9665733"
189,alrajhi,2024-10-13T22:06:00,رمز  التحقق الخاص بك هو 253130 صالح لمدة 5 دقائق لا تشاركه مع احد
190,بنك الرياض,2024-02-05T03:53:00,"تم ايداع راتب بمبلغ 12,897.06 AED في الحساب ***102 بتاريخ 05"
191,riyad bank,2024-07-03T14:18:00,عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***793 للاستفسار اتصل على 966559336748
192,بنك الرياض,2024-03-10T21:57:00,خصم رسوم 68.60 SAR على الحساب ***517 رقم العملية 914542863
193,snb,2024-06-09T19:58:00,"Salary of USD 63,585.80 credited to account ***196 on 09/06/2024"
194,alrajhi,2024-04-29T16:17:00,عزيزنا العميل تم تفعيل خدمة sms alerts على حسابك ***١٣٦ للاستفسار اتصل على ٩٦٦٥٨٢١١٢٥٥٠
